시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 양천구 신정동,930-19,930,19,한솔맨션(930-19),69.3,38.36,202211,19,"36,000",2,2002,신정중앙로6길 15,,중개거래,서울 양천구
서울특별시 양천구 신정동,879-1,879,1,한일그린맨션,55.31,22.24,202304,5,"19,300",-1,1995,은행정로19길 11,,중개거래,서울 양천구
서울특별시 양천구 신정동,978-4,978,4,한일다세대,50.15,31.09,202205,21,"50,000",3,1986,은행정로7길 21,,중개거래,서울 양천구
서울특별시 양천구 신정동,959-27,959,27,행복한집,24.4,14.13,202302,4,"19,500",5,2012,오목로38길 25-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,1002-4,1002,4,현대2빌라,40.16,25.66,202208,23,"9,900",-1,1991,목동로15길 19,,직거래,-
서울특별시 양천구 신정동,926-13,926,13,현대빌라가동,53.13,44.75,202303,25,"17,300",-1,1991,은행정로17길 48-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,1004-3,1004,3,현대타운(1004-3),28.91,16.92,202206,11,"27,500",5,2010,목동로13길 5,,중개거래,서울 양천구
서울특별시 양천구 신정동,937-3,937,3,효성파크빌나동,62.7,30.78,202208,1,"24,000",5,2003,신정중앙로2길 10-17,,직거래,-
서울특별시 양천구 신정동,928-1,928,1,후암리치빌(928-1),36,23.61,202208,27,"23,000",5,2008,오목로27길 12,,중개거래,서울 양천구
서울특별시 양천구 신정동,930-13,930,13,후암리치빌(930-13),42.57,24.03,202205,30,"26,000",5,2010,신정중앙로6길 16,,중개거래,서울 양천구
서울특별시 영등포구 당산동,121-68,121,68,가우빌리지(121-68),72.88,40.97,202209,14,"30,000",5,2002,버드나루로23길 23-5,,직거래,-
서울특별시 영등포구 당산동,121-3,121,3,나온타워,15.2,6.16,202205,26,"10,900",4,2013,국회대로53길 24-12,,직거래,-
서울특별시 영등포구 당산동,173-19,173,19,당산파크빌,59.85,28.05,202302,8,"33,000",3,2008,국회대로53길 28-2,,중개거래,서울 영등포구
서울특별시 영등포구 당산동,121-325,121,325,스테이휴당산102동,48.04,34.43,202210,14,"40,000",5,2016,버드나루로16길 7-1,,중개거래,서울 영등포구
서울특별시 영등포구 당산동,121-325,121,325,스테이휴당산102동,48.44,34.72,202303,11,"42,000",2,2016,버드나루로16길 7-1,,중개거래,서울 강서구
서울특별시 영등포구 당산동1가,256-137,256,137,(256-137),27.11,14.96,202301,13,"24,500",5,2015,당산로16길 26-1,,중개거래,서울 영등포구
서울특별시 영등포구 당산동1가,256-137,256,137,(256-137),28.57,15.77,202302,4,"26,000",6,2015,당산로16길 26-1,,중개거래,서울 영등포구
서울특별시 영등포구 당산동1가,139,139,0,LG빌딩,25.34,14.47,202205,30,"25,000",3,2016,영신로39길 16-5,,중개거래,서울 영등포구
서울특별시 영등포구 당산동1가,139,139,0,LG빌딩,25.26,14.42,202206,11,"23,900",5,2016,영신로39길 16-5,,중개거래,서울 영등포구
서울특별시 영등포구 당산동1가,143,143,0,다솔시티하임,29.54,14.69,202206,13,"31,000",4,2017,영등포로27길 12,20220919,중개거래,서울 영등포구
서울특별시 영등포구 당산동1가,143,143,0,다솔시티하임,29.54,14.69,202209,19,"31,000",4,2017,영등포로27길 12,,중개거래,서울 영등포구
서울특별시 영등포구 당산동1가,179,179,0,디에스퍼스트(179),29.26,15.27,202206,3,"37,700",3,2021,영신로41길 8,,직거래,-
서울특별시 영등포구 당산동1가,230,230,0,삼정주택,27.32,11.79,202210,12,"28,800",6,2022,영신로47길 13-1,,직거래,-
